Order_ID,Order_Date,Region,Segment,Category,Sub_Category,Channel,Customer_ID,Customer_Name,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Year,Month,Month_Name,Quarter,Profit_Margin,Year_Month
ORD-100001,2025-10-16,North,Consumer,Office Supplies,Art Supplies,Online,CUST-5426,Isha Das,7,142.11,0.05,945.01,649.22,295.79,2025,10,Oct,Q4,0.313001978815039,2025-10
ORD-100002,2024-08-16,South,Home Office,Technology,Phones,Partner,CUST-3433,Kabir Sharma,4,190.01,0.1,684.03,550.81,133.21,2024,8,Aug,Q3,0.19474292063213602,2024-08
ORD-100003,2025-03-08,North,Consumer,Technology,Laptops,Online,CUST-3047,Aditya Gupta,4,550.97,0.05,2093.7,1415.27,678.43,2025,3,Mar,Q1,0.3240340067822515,2025-03
ORD-100004,2025-06-01,North,Home Office,Technology,Monitors,Online,CUST-9792,Vivaan Sinha,4,536.16,0.0,2144.64,1277.37,867.26,2025,6,Jun,Q2,0.40438488510892273,2025-06
ORD-100005,2025-04-04,East,Consumer,Technology,Monitors,Retail,CUST-1775,Aditya Sharma,1,92.29,0.1,83.06,60.34,22.73,2025,4,Apr,Q2,0.27365759691789066,2025-04
ORD-100006,2024-10-11,South,Consumer,Furniture,Chairs,Online,CUST-7873,Vivaan Sinha,4,467.9,0.0,1871.58,1340.52,531.06,2024,10,Oct,Q4,0.28374955919597344,2024-10
ORD-100007,2025-01-24,North,Corporate,Furniture,Bookcases,Online,CUST-8869,Isha Das,6,452.73,0.05,2580.54,1819.28,761.26,2025,1,Jan,Q1,0.2950002712610539,2025-01
ORD-100008,2025-04-15,North,Corporate,Technology,Accessories,Partner,CUST-8208,Aarav Patel,5,288.94,0.0,1444.69,1026.09,418.6,2025,4,Apr,Q2,0.28975074237379644,2025-04
ORD-100009,2025-09-25,East,Home Office,Technology,Phones,Online,CUST-1391,Aditya Singh,7,406.02,0.0,2842.13,1784.07,1058.06,2025,9,Sep,Q3,0.3722771301805336,2025-09
ORD-100010,2025-11-08,South,Corporate,Technology,Laptops,Online,CUST-4104,Anaya Gupta,1,546.59,0.15,464.6,364.25,100.35,2025,11,Nov,Q4,0.21599225139905293,2025-11
ORD-100011,2025-01-24,East,Corporate,Office Supplies,Art Supplies,Online,CUST-9110,Aditya Sharma,6,117.66,0.15,600.07,416.04,184.02,2025,1,Jan,Q1,0.30666422250737413,2025-01
ORD-100012,2025-01-14,East,Consumer,Office Supplies,Art Supplies,Partner,CUST-8721,Aditya Gupta,5,92.93,0.05,441.43,301.33,140.11,2025,1,Jan,Q1,0.31740026731305077,2025-01
ORD-100013,2025-11-30,North,Home Office,Office Supplies,Binders,Partner,CUST-4242,Arjun Gupta,1,164.1,0.0,164.1,111.34,52.76,2025,11,Nov,Q4,0.32151127361365023,2025-11
ORD-100014,2024-09-07,South,Corporate,Furniture,Bookcases,Partner,CUST-4627,Arjun Sinha,3,535.45,0.0,1606.36,972.36,634.0,2024,9,Sep,Q3,0.3946811424587266,2024-09
ORD-100015,2025-12-05,South,Home Office,Furniture,Chairs,Online,CUST-6864,Aditya Gupta,7,231.72,0.0,1622.05,1107.06,514.99,2025,12,Dec,Q4,0.31749329552109984,2025-12
ORD-100016,2024-02-02,East,Corporate,Furniture,Chairs,Online,CUST-2998,Riya Jha,6,285.4,0.0,1712.41,1131.95,580.46,2024,2,Feb,Q1,0.3389725591417943,2024-02
ORD-100017,2025-08-03,East,Consumer,Office Supplies,Labels,Retail,CUST-8554,Aarav Das,1,51.67,0.0,51.67,38.61,13.07,2025,8,Aug,Q3,0.2529514224888717,2025-08
ORD-100018,2025-10-20,West,Consumer,Furniture,Tables,Online,CUST-6855,Aarav Sharma,1,204.06,0.05,193.86,113.98,79.88,2025,10,Oct,Q4,0.41204993294129777,2025-10
ORD-100019,2025-07-28,East,Home Office,Office Supplies,Labels,Partner,CUST-4510,Isha Sharma,3,85.02,0.05,242.3,175.0,67.3,2025,7,Jul,Q3,0.27775484936029715,2025-07
ORD-100020,2025-02-12,East,Consumer,Technology,Monitors,Online,CUST-7287,Aarav Patel,7,698.42,0.05,4644.48,3603.85,1040.62,2025,2,Feb,Q1,0.22405522254375085,2025-02
ORD-100021,2024-02-18,North,Consumer,Office Supplies,Binders,Partner,CUST-2986,Aditya Verma,4,155.64,0.0,622.55,393.99,228.56,2024,2,Feb,Q1,0.36713516986587424,2024-02
ORD-100022,2025-03-08,North,Corporate,Furniture,Storage,Partner,CUST-9155,Meera Patel,7,433.11,0.15,2576.98,1579.7,997.28,2025,3,Mar,Q1,0.3869956305442805,2025-03
ORD-100023,2024-09-14,North,Home Office,Office Supplies,Paper,Partner,CUST-3049,Aarav Das,2,52.37,0.1,94.26,73.16,21.1,2024,9,Sep,Q3,0.22384892849565033,2024-09
ORD-100024,2025-07-03,East,Home Office,Furniture,Chairs,Retail,CUST-5499,Isha Roy,5,161.9,0.1,728.56,570.61,157.95,2025,7,Jul,Q3,0.21679751839244538,2025-07
ORD-100025,2025-03-21,South,Corporate,Technology,Accessories,Partner,CUST-3557,Meera Singh,1,574.36,0.15,488.21,354.22,133.99,2025,3,Mar,Q1,0.2744515679727986,2025-03
ORD-100026,2024-07-01,North,Home Office,Furniture,Tables,Online,CUST-9352,Arjun Sharma,1,146.84,0.1,132.15,97.33,34.83,2024,7,Jul,Q3,0.2635641316685584,2024-07
ORD-100027,2025-01-17,South,Home Office,Office Supplies,Paper,Partner,CUST-5555,Aditya Roy,6,119.74,0.15,610.66,450.56,160.1,2025,1,Jan,Q1,0.26217535125929325,2025-01
ORD-100028,2024-11-27,West,Consumer,Technology,Accessories,Retail,CUST-1225,Kabir Sharma,7,272.86,0.05,1814.49,1446.99,367.5,2024,11,Nov,Q4,0.20253624985533125,2024-11
ORD-100029,2024-09-02,North,Consumer,Office Supplies,Paper,Online,CUST-8679,Aarav Das,4,47.59,0.05,180.85,129.72,51.13,2024,9,Sep,Q3,0.2827204865910976,2024-09
ORD-100030,2025-05-12,North,Home Office,Technology,Laptops,Partner,CUST-4170,Aarav Verma,6,365.02,0.05,2080.63,1689.46,391.16,2025,5,May,Q2,0.18800074977290532,2025-05
